CustomerID,Recency,Frequency,Monetary,AccountBalance,Age,Gender,source,churn_prob,risk_tier
C8735171,27,1,1200.0,79.48,25.8,M,india,0.9976130517755559,High risk
C8235125,27,1,1200.0,79.48,25.8,M,india,0.9976130517755559,High risk
C6230340,27,1,3515.75,8448.41,33.5,M,india,0.9973972537077886,High risk
C8017287,27,1,620.0,49333.33,25.1,M,india,0.997390730276073,High risk
C1612070,27,1,120.0,15363.19,24.1,F,india,0.9973868402158445,High risk
C8618858,27,1,6856.91,12024.26,34.3,M,india,0.9972885847140589,High risk
C7740749,27,1,3060.0,176555.43,33.4,M,india,0.9971972577544814,High risk
C8319384,27,1,145.0,2556.23,26.2,F,india,0.9971441857316117,High risk
C6318873,27,1,6856.91,12024.26,34.3,M,india,0.997093999985409,High risk
C7318879,27,1,6856.91,12024.26,34.3,M,india,0.997093999985409,High risk
C4510512,27,1,35157.51,71964.27,40.1,F,india,0.9970937521817015,High risk
C1827777,27,1,65.0,35.82,25.0,M,india,0.9970674643091232,High risk
C3518861,27,1,6856.91,12024.26,34.3,M,india,0.9970567909794364,High risk
C3714261,27,1,50.0,41327.97,40.5,M,india,0.9970276385468406,High risk
C1214221,27,1,50.0,41327.97,40.5,M,india,0.9970276385468406,High risk
C8746043,27,1,60.0,50116.18,43.5,M,india,0.9970276385468406,High risk
C8715252,27,1,28.12,234081.8,35.7,M,india,0.9969921037295444,High risk
C8115023,27,1,134.18,44069.35,31.6,M,india,0.9969463085500483,High risk
C3318356,27,1,115.0,56656.26,35.6,M,india,0.9968865222701931,High risk
C1420950,27,1,150.0,140.54,31.0,M,india,0.9968340992866063,High risk
C2322175,27,1,250.0,9374.43,29.4,F,india,0.9968337409208458,High risk
C6222137,27,1,250.0,9374.43,29.4,F,india,0.9968337409208458,High risk
C3117992,27,1,300.0,1169.46,28.3,F,india,0.9968098552297264,High risk
C8821439,27,1,55.61,643719.49,,F,india,0.9967633207112576,High risk
C2222175,27,1,300.0,13587.6,29.9,M,india,0.9967574895614733,High risk
C1148674,27,1,54.37,371.56,37.9,M,india,0.9966732105153758,High risk
C3040651,27,1,523.0,8204.99,,M,india,0.996662993838734,High risk
C8516042,27,1,120.0,482.32,34.5,M,india,0.9965489455291696,High risk
C5633637,27,1,50.0,7117.62,27.4,M,india,0.9964267510678957,High risk
C2633686,27,1,50.0,7117.62,27.4,M,india,0.9964267510678957,High risk
C3664892,27,1,40.95,23524.99,24.0,F,india,0.9963396468855299,High risk
C6264862,27,1,40.95,23524.99,24.0,F,india,0.9963396468855299,High risk
C6964837,27,1,40.95,23524.99,24.0,F,india,0.9963396468855299,High risk
C6864865,27,1,40.95,23524.99,24.0,F,india,0.9963396468855299,High risk
C8664823,27,1,40.95,23524.99,24.0,F,india,0.9963396468855299,High risk
C6164846,27,1,40.95,23524.99,24.0,F,india,0.9963396468855299,High risk
C5364846,27,1,40.95,23524.99,24.0,F,india,0.9963396468855299,High risk
C1264856,27,1,40.95,23524.99,24.0,F,india,0.9963396468855299,High risk
C5072369,27,1,60.0,7.0,20.2,M,india,0.9963393097955713,High risk
C5113233,27,1,60.0,56.32,22.0,F,india,0.9963303688825993,High risk
C7891175,27,1,65.0,794.91,,M,india,0.9963027664562276,High risk
C6019473,27,1,60.0,447819.51,43.3,M,india,0.9962988069804382,High risk
C2627234,27,1,60.0,35102.45,30.2,F,india,0.9962572643454412,High risk
C2113191,27,1,50.0,6184.43,24.4,F,india,0.9961994853228914,High risk
C3633892,27,1,60.0,998.12,36.4,M,india,0.9961931844414078,High risk
C8720743,27,1,10.35,38440.32,22.1,M,india,0.9961354185758187,High risk
C5915273,27,1,15.14,234081.8,35.7,M,india,0.9961240926460906,High risk
C1114769,27,1,10.0,2372.94,24.4,M,india,0.9960692903904192,High risk
C5361068,27,1,60.0,405.76,27.8,M,india,0.9960266299351279,High risk
C3819030,27,1,13.67,127747.71,28.0,M,india,0.9959874633796773,High risk
C6722183,27,1,50.0,13587.6,29.9,M,india,0.9959500677812267,High risk
C9011586,27,1,19.97,366.0,48.0,M,india,0.9959481983828904,High risk
C1724526,27,1,50.0,650.38,28.3,F,india,0.9959364101701749,High risk
C3340690,27,1,50.0,823.94,45.2,M,india,0.9959184197642849,High risk
C2336383,27,1,50.0,2643.97,25.9,M,india,0.9959058758642446,High risk
C2368560,27,1,60.0,3615.12,30.5,M,india,0.9958982718919652,High risk
