TransactionID,CustomerID,TransactionDate,TransactionHour,TransactionAmount (INR),CustAccountBalance,tx_zscore,daily_velocity,is_night,if_anomaly,rf_fraud_prob,combined_risk,risk_tier
T151313,C2631338,2016-08-04,0,575.0,7.86,0.7071067811865476,1,1,1,0.9999658003414266,0.9999794802048559,Critical
T194937,C8438832,2016-08-08,0,4267.0,452.7,0.0,1,1,1,0.9998014325066884,0.9998808595040131,Critical
T456376,C3514316,2016-08-21,0,806.52,84.92,0.7071067811865475,1,1,1,0.9999820037410242,0.8999892022446145,Critical
T132790,C2924213,2016-08-05,0,2364.0,56.54,0.0,1,1,1,0.9999811420073903,0.8999886852044341,Critical
T1035133,C7723070,2016-09-13,0,1253.84,2.5,0.7071067811865476,1,1,1,0.9999806730528809,0.8999884038317285,Critical
T218695,C5029226,2016-08-07,0,413.0,34.66,0.7071067811865476,1,1,1,0.9999792028707979,0.8999875217224786,Critical
T37021,C8013032,2016-09-27,1,1169.0,113.84,0.7071067811865476,1,1,1,0.9999784368962908,0.8999870621377746,Critical
T857218,C6118863,2016-09-08,0,2982.0,90.04,0.0,1,1,1,0.9999751508297006,0.8999850904978204,Critical
T726354,C6024949,2016-09-02,3,1500.0,24.47,0.7071067811865475,1,1,1,0.999975024823327,0.8999850148939961,Critical
T850943,C6935189,2016-09-09,4,1520.0,79.48,0.7071067811865476,1,1,1,0.999974949064014,0.8999849694384083,Critical
T850326,C2726335,2016-09-09,0,3700.0,61.9,0.0,1,1,1,0.999974280088014,0.8999845680528085,Critical
T249370,C4227261,2016-08-12,0,2500.0,129.75,0.0,1,1,1,0.9999738626994156,0.8999843176196494,Critical
T244252,C2127290,2016-08-12,0,2500.0,129.75,0.0,1,1,1,0.9999738626994156,0.8999843176196494,Critical
T252267,C6635452,2016-08-12,0,900.0,84.16,0.7071067811865476,1,1,1,0.9999726048530317,0.8999835629118189,Critical
T496746,C6513330,2016-08-19,0,1340.0,195.25,0.7071067811865475,1,1,1,0.9999726048530317,0.8999835629118189,Critical
T852135,C1312150,2016-09-09,0,1245.0,52.51,0.7071067811865475,1,1,1,0.9999714495405402,0.8999828697243242,Critical
T182048,C1140843,2016-08-09,0,186.0,28.37,0.0,1,1,1,0.9999700421583357,0.8999820252950015,Critical
T251971,C3864983,2016-08-12,0,3511.0,6.73,0.0,1,1,1,0.9999689579213974,0.8999813747528385,Critical
T65952,C8711171,2016-08-02,4,1591.0,5.73,0.7071067811865476,1,1,1,0.9999681159049184,0.899980869542951,Critical
T662390,C4826161,2016-08-31,1,650.0,4.34,-0.7071067811865476,1,1,1,0.9999677927588366,0.8999806756553019,Critical
T44121,C7732557,2016-08-03,1,1791.0,47.24,0.7071067811865476,1,1,1,0.9999677110803975,0.8999806266482384,Critical
T170257,C4665674,2016-08-09,0,229.2,3.69,0.0,1,1,1,0.999967268903223,0.8999803613419337,Critical
T433617,C7327517,2016-08-16,0,199.0,12.47,0.0,1,1,1,0.999967268903223,0.8999803613419337,Critical
T62515,C2021672,2016-08-02,0,280.0,24.12,0.0,1,1,1,0.9999670608589368,0.899980236515362,Critical
T250616,C6919059,2016-08-12,0,2566.0,230.82,0.0,1,1,1,0.9999662794259598,0.8999797676555759,Critical
T401171,C7982345,2016-08-18,0,2656.0,142.7,0.0,1,1,1,0.9999657013566923,0.8999794208140153,Critical
